"ALPA4","ABEV3","BBDC3","BBDC4","BBAS3","BRKM5","CMIG4","CPLE6","ELET3","ELET6","EMBR3","EGIE3","GGBR4","GOAU4","ITSA4","ITUB4","LIGT3","PETR3","PETR4","SBSP3","CSNA3","VIVT3","TIMS3","USIM5","VALE3","IBOV"
26.647534229,0.81061164328,20.105499315,13.367113196,3.1517994104,13.175675675,4.3835660807,-7.3482428114,-12.499999999,-9.7813578826,15.74956783,9.012626283,-2.9820261439,5.2960474924,11.898387609,14.098480076,-0.57142857149,4.2584434654,4.5748116254,9.950878519,-1.9498069498,18.865030675,2.3809523811,-0.73533544637,13.363363363,4.2502387774
-0.0083333332441,-5.9634560162,-5.1834639103,0.35860129883,-4.9230769231,-11.38140697,-10.260219805,1.2931034482,-11.948051948,-16.096938776,-5.8860759494,-17.653061224,-7.7894736843,-5.7863501484,-1.7391304348,-2.5399292931,-12.212643678,0.75117370889,-2.9336078228,-12.511908542,2.8745816106,-9.5698924731,-7.7677741055,-1.0194624652,4.9536423841,-7.0468773859
2.7863433063,2.9047244094,30.669431545,27.25682681,1.1418768647,12.205567451,16.034482759,20.765957447,11.474926253,10.063849194,11.297915265,11.771995043,18.84146722,7.2483514019,12.168141593,15.82117211,3.4733587925,18.359739049,17.953340403,14.740124306,28.612440191,10.558858501,13.314447592,29.026217228,14.209994952,15.560574948
-7.0270270271,-19.657354483,-4.8891381848,-5.5468504638,-4.5161290322,-17.335877863,-8.618127786,-11.839323467,-6.0862662079,-5.5248618784,-2.9848572801,32.815964523,-13.052011776,-8.4178652537,-2.4030278867,-2.5953270314,-2.4780316344,-7.4803149606,-7.2642272768,-17.032932034,-5.8035714284,-13.09959131,-1.8120664818,-12.374227234,-6.0773480663,-5.4337396496
-8.430232558,-39.285136049,-4.0966536369,3.2922797671,-1.1824324325,-9.262166405,18.536585366,13.438008982,-11.524373062,-4.649122807,-12.060301507,4.6702118809,-17.618510158,-17.5483551,0,1.6489202675,-23.409623355,-7.1930962024,-6.8799460791,0.95969289832,-12.843601895,-1.4289737721,0.51948051951,-13.04347826,-18.148126605,-6.6403607666
7.8783916311,1.3333333332,9.1255662728,-2.7206217634,4.9572649574,-6.5336861388,1.7072027689,0.072516316322,15.059825478,10.440449655,2.8571428571,-0.36119661272,1.9242814489,2.7856924429,0.14406670798,-4.0354887627,47.058823529,4.2883720929,6.4021164022,9.0369678212,-9.0536553614,0.50102828864,8.2687338501,-9.8,2.1167883211,1.4652014652
6.0303030305,11.455108359,14.511005451,8.262584126,3.0944625407,-14.851916376,1.9178082192,-3.4782608697,-8.1284916201,-8.2121212121,1.9053862472,-6.276505513,-6.9958847736,-9.5508982037,3.4534275124,1.9372802568,-8.8,8.2062260281,6.7130780706,-0.35915492963,-11.241217798,-0.90410958901,1.1933174226,-15.521064301,-0.92923516786,-0.6188757091
-0.89411251392,-1.0000000001,-3.8297444394,-0.12630764668,-1.1058451817,16.624040921,6.7568454047,-0.15015014997,-0.15202189106,0.85836909875,0.41265474556,2.1719457012,10.17699115,6.9182389938,1.5748031496,4.4489219295,-7.4686668462,5.0205347416,3.4947768281,4.9491508784,18.205804749,-1.9076582804,-11.08490566,12.257217847,13.261183261,3.955929903
24.62961495,2.1885521886,16.080527069,20.527407167,14.016762119,2.7631578949,6.312935709,1.7293233082,-0.73081607807,2.7823240589,9.5890410958,-5.5801594331,16.561682414,14.121729844,14.768667693,10.017979036,-12.463526469,18.675179569,19.287942742,1.3630136986,3.4151785714,-1.352874859,37.400530504,14.238952536,3.3252643649,7.687581599
6.408706167,12.072477434,16.301070376,8.8686036328,24.390942964,-1.8779342723,3.2179720703,28.677014043,37.116564417,36.942675159,4.0985853133,24.765478424,17.232924693,18.005540166,9.3472638642,8.058199233,-10.571428571,8.2716879624,9.6923076924,6.3517805258,11.741851931,1.5488546569,1.1583011583,12.256750005,22.071516646,12.619455142
1.8181818183,-5.223880597,2.9490905326,6.5854040871,-4.6082949309,-15.615484993,-3.5294117648,-5.4566341183,-11.856823266,-9.5348837209,-2.4848484848,20.30075188,-8.7541081564,-5.3990610329,4.9844236759,1.2793777825,-16.49033824,-11.428571428,-9.6493688639,-8.571065506,-16.457407765,2.1439509952,-10.496183206,-12.350674373,-4.2156974933,-4.4011018586
23.860385338,16.377952756,18.281999966,18.609667083,-5.3140096618,2.5773195875,10.465787972,16.038882138,2.2842639595,4.2416452441,-3.0453697948,-10.225684821,8.8407419185,7.0941684384,12.017804154,3.9173115108,5.9469941823,5.4698457221,6.3334368208,-1.4351634407,6.3583815028,7.9460269866,36.673773987,13.651351945,2.7154663518,5.7066207399
32.586520947,2.9459282632,4.5688125241,0.11874872652,7.6530612247,-4.5226130653,6.4068100359,-5.8115183246,-5.7071960298,-2.3427866831,16.318147974,9.5173396072,19.890176937,14.386792452,0.50551004551,1.2112393013,-6.3453325198,9.8404255321,8.6423357665,17.046833122,9.3478260869,4.1388888889,-3.3850730149,7.5435203094,-0.20898641596,4.8220328363
14.919631817,2.5930851063,26.820758908,28.567660209,26.895734597,-6.7594215029,18.892858934,12.562534741,4.7368421052,6.0606060606,21.666666667,3.7209302325,22.13740458,18.474226804,21.621621622,19.4051067,-2.8664495114,26.691176471,28.030509398,17.197452229,29.204771372,7.4363601498,35.294117647,33.027455425,18.52356021,14.727245553
7.5911536162,1.101749838,-1.5067572523,0.72582647445,4.6994016202,7.1680376028,2.2897897898,15.061728395,13.040201005,11.071428571,-5.7077625572,11.787315823,3.0039904088,4.7398466937,2.7777777777,2.2641003887,34.004024145,-5.9779454441,-4.7872340426,-7.0108695652,4.0802980862,1.8987341771,5.4347826086,-3.1945788965,-7.7215301705,0.59402845091
-1.0035727003,5.6310178124,-12.63761787,-11.112963774,0.92744135291,-11.622807017,-9.4036697248,-6.9098712446,8.3574127584,2.786709539,-5.4721549637,5.4441260743,-0.81632653064,-0.7903144442,1.4122034594,-5.6945696467,-25.375375375,-4.1152263374,-3.5977653632,11.630625365,6.4279011574,5.8385093167,-1.3841333635,16.920635093,1.1010052656,-1.7068117068
6.5610488169,5.1344743277,2.3180045797,2.7433142845,11.150469906,-7.8949607789,1.8126582279,7.7616974209,23.595862979,20.022549052,-0.1024590163,-2.7180031089,11.296296296,9.0423728814,2.1413276232,2.8510691509,7.4446680081,10.900556812,8.6972611276,6.8062827224,7.7149155033,0.44600938963,7.7283372368,-0.93457943922,2.4870590178,6.3555637533
6.1441305448,-2.1046511628,-2.1910354699,-12.020503756,-7.3371805441,-3.9455782312,-9.6535496133,-17.030567686,-28.189712759,-25.547445255,-2.8205128205,-0.63916327699,-10.469033641,-6.2391144214,-7.7631293691,-8.0211627343,-16.978776529,-3.0974318761,-4.8237075493,1.8553793945,-5.0080137303,-5.8308483452,-20.108695652,-5.0314465409,-1.5137357504,-9.496320888
0.90909090904,-4.2380338328,-8.5457677435,-3.2375966782,-11.067615658,-5.8781869689,5.1534585433,7.3684210527,9.3023255815,10.049019607,5.3310838848,0.58479532163,1.71875,0.7556675062,-0.65527823763,4.3389113036,9.0225563908,-2.0837548048,-1.8636363636,-0.34448818888,4.5103395687,3.9999999999,10.204081632,2.8476821193,-0.79696394678,0.27374760466
-8.4084084085,-1.87625,6.7261291655,8.1643744343,-0.16006402548,-14.973664409,2.9494538261,7.5980392157,-2.5531914896,-2.8953229399,-7.0707070708,-0.58139534885,4.4546850999,1.2499999999,3.2110091743,5.5076415754,3.1724137931,3.2024793389,3.9833256136,7.1604938272,0.28776978415,-2.5641025641,1.2345679012,-3.4127495172,-3.3091048203,1.2203112203
0.66551087748,7.6459572732,-2.1619676465,-4.4713968114,0.072453999383,23.451327434,-5.9011164275,5.0113895217,2.1834061137,-1.8348623853,14.076086956,16.832939112,-7.997457688,-4.8953138716,1.1039157767,-2.5625088731,5.1470588236,-4.8648648649,-4.2316258352,8.3041474654,-8.511308421,6.5789473685,-1.2195121951,-10.373333333,-9.0009891197,-2.2790409149
